year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2011,6,0.00350974,0.10646,0,0.00350974,-0.0046044,0.00811414
2011,7,0,0,0,0,0,0
2011,8,-0.02730223,-0.87788,-0,-0.02730223,0.03878808,-0.06609031
2011,9,0.0561148,-0.609,0.0561148,0,0.06443534,-0.00832054
2011,10,0,0,0,0,0,0
2011,11,0.00987694,-0.13996,0.00987694,0,0.01329883,-0.00342189
2011,12,0.00977508,-0.81154,0.00977508,0,0.05336398,-0.0435889
2012,1,-0.01870519,0.30319,-0.01870519,-0,-0.02746331,0.00875812
2012,2,0,0,0,0,0,0
2012,3,0.00834486,0.02241,0,0.00834486,0.00283379,0.00551107
2012,4,0,-0.0166,0,0,0.00099158,-0.00099158
2012,5,0,0,0,0,0,0
2012,6,0.0168395,-0.02733,0.0168395,0,0.01005228,0.00678722
2012,7,0,0,0,0,0,0
2012,8,0.01309435,-0.1668,0.01309435,0,0.01651079,-0.00341644
2012,9,0.01620423,0.61107,0,0.01620423,-0.02839948,0.04460371
2012,10,0,-0.00141,0,0,8.422e-05,-8.422e-05
2012,11,0,0,0,0,0,0
2012,12,-0.00370015,0.39349,-0.00370015,-0,-0.02535476,0.02165461
2013,1,-0.00350974,-0.07702,-0,-0.00350974,0.00284583,-0.00635557
2013,2,0,0,0,0,0,0
2013,3,0.00189286,0.10916,0,0.00189286,-0.00557412,0.00746698
2013,4,0,0,0,0,0,0
2013,5,0.00113932,0.14053,0,0.00113932,-0.00782474,0.00896406
2013,6,0.00484999,-0.06366,0.00484999,0,0.00622765,-0.00137766
2013,7,-0.00426764,-0.03255,-0,-0.00426764,-0.00018948,-0.00407816
2013,8,0,0,0,0,0,0
2013,9,-0.01574516,1.00779,-0.01574516,-0,-0.0680718,0.05232664
2013,10,0.00226993,-0.29372,0.00226993,0,0.01868,-0.01641007
2013,11,0,0,0,0,0,0
2013,12,0.00143022,0.7595,0,0.00143022,-0.04465278,0.046083
2014,1,0.00336826,-0.40308,0.00336826,0,0.02576167,-0.02239341
2014,2,0,0,0,0,0,0
2014,3,0.01668971,-0.20472,0.01668971,0,0.02057358,-0.00388387
2014,4,0.00113497,0.01755,0,0.00113497,-0.00048084,0.00161581
2014,5,0,0,0,0,0,0
2014,6,0.00720989,0.31782,0,0.00720989,-0.01537968,0.02258957
2014,7,-0.00607492,0.39686,-0.00607492,-0,-0.02674345,0.02066853
2014,8,0,0,0,0,0,0
2014,9,0.01422937,0.24878,0,0.01422937,-0.00774591,0.02197528
2014,10,0.02259051,-0.29393,0.02259051,0,0.02885284,-0.00626233
2014,11,0,0,0,0,0,0
2014,12,-0.05153867,0.74124,-0.05153867,-0,-0.07004649,0.01850782
2015,1,-0.00620012,-0.25168,-0,-0.00620012,0.01193377,-0.01813389
2015,2,0,0,0,0,0,0
2015,3,-0.06567396,1.42474,-0.06567396,-0,-0.11794225,0.05226829
2015,4,0,0.09256,0,0,-0.00552897,0.00552897
2015,5,0,0,0,0,0,0
