start,description,FF1,FF2,FF3,FF4,MP1,ED1,ED2,ED3,ED4,TFUT02,TFUT05,TFUT10,TFUT30,SP500,SP500FUT,EUR
1994-05-17 14:26:00,"FOMC Rate Decision (Scheduled)",0.05,0.05,-0.02,0.05,0.11072,-0.02,-0.06,-0.06,-0.08,-0.06731,-0.09142,-0.07918,-0.08254,0.52219,0.52646,NaN
1994-07-06 14:18:00,"FOMC Rate Decision (Scheduled)",-0.04,0,0,0,-0.0496,-0.02,-0.01,-0.01,-0.01,0.00322,0.00356,0.01275,0.01784,-0.22844,-0.07824,NaN
1994-08-16 13:18:00,"FOMC Rate Decision (Scheduled)",0.06,0.09,0,0,0.12399,0.08,0.04,0.01,0.01,-0.00483,-0.02475,-0.03347,-0.0462,0.25704,0.1836,NaN
1994-09-27 14:18:00,"FOMC Rate Decision (Scheduled)",-0.02,-0.09,-0.05,-0.03,-0.09,-0.02,-0.02,-0.01,0,0.00487,0.02886,0.02604,0.03703,-0.17136,-0.26979,NaN
1994-11-15 14:20:00,"FOMC Rate Decision (Scheduled)",0.06,0.08,0.05,0.08,0.12,0.04,0.03,0.03,0.03,0.00816,-0.00732,-0.01325,-0.03146,-0.44889,-0.91315,NaN
1994-12-20 14:17:00,"FOMC Rate Decision (Scheduled)",-0.08,-0.14,-0.05,-0.05,-0.22546,-0.07,-0.01,0.01,0.02,0.01157,0.00369,0.00882,0.00913,0.10486,0,NaN
1995-02-01 14:15:00,"FOMC Rate Decision (Scheduled)",0.06001,0.03,0.03999,0,0.06223,0.06,0.07,0.06,0.05,0.05245,0.03646,0.02165,0.02082,-0.25438,-0.17962,NaN
1995-03-28 14:15:00,"FOMC Rate Decision (Scheduled)",0.01,-0.01,0.01,0.02,-0.01,0.02,0.02,0.02,0.02,0.01299,0.01427,0.00839,0.00859,-0.15511,-0.08885,NaN
1995-05-23 14:15:00,"FOMC Rate Decision (Scheduled)",0,0.02,0,0,1e-05,-0.01,-0.02,-0.01,-0.01,0.00802,0.00694,0.00401,0.00526,-0.04189,0,NaN
1995-07-06 14:15:00,"FOMC Rate Decision (Scheduled)",-0.09,-0.11,0,-0.15,-0.1116,-0.18,-0.26,-0.25,-0.25,-0.19909,-0.17063,-0.13282,-0.10505,0.2993,0.33528,NaN
1995-08-22 14:15:00,"FOMC Rate Decision (Scheduled)",0.01,0.03001,0.01,0,0.03443,0.05,0.05,0.06,0.04,0.03206,0.03125,0.02409,0.02638,-0.18269,-0.17867,NaN
1995-09-26 14:15:00,"FOMC Rate Decision (Scheduled)",0,0.03001,0.03,0.03,0.03001,0.07,0.07,0.08,0.05,0.04793,0.04122,0.03557,0.02292,-0.16138,-0.28127,NaN
1995-11-15 14:15:00,"FOMC Rate Decision (Scheduled)",0.02,0.02,0.03,0,0.03999,0.04,0.03,0.02,0.02,0.0238,0.02027,0.01543,0.00726,-0.06111,-0.05076,NaN
1995-12-19 14:15:00,"FOMC Rate Decision (Scheduled)",-0.035,-0.07,-0.06,-0.05,-0.09041,-0.05,-0.03,-0.03,-0.04,-0.04431,-0.02348,-0.02668,-0.01901,0.25709,0.26922,NaN
1996-01-31 14:15:00,"FOMC Rate Decision (Scheduled)",0,-0.03,-0.01,-0.02,-0.03,-0.02,-0.04,-0.05,-0.05,-0.04241,-0.03308,-0.01869,-0.00695,0.05541,0.05523,NaN
